,Urban Aggl,change_abs_p0,change_abs_p10,change_abs_p100,change_abs_p20,change_abs_p30,change_abs_p40,change_abs_p50,change_abs_p60,change_abs_p70,change_abs_p80,change_abs_p90,change_norm_p0,change_norm_p10,change_norm_p100,change_norm_p20,change_norm_p30,change_norm_p40,change_norm_p50,change_norm_p60,change_norm_p70,change_norm_p80,change_norm_p90,max_extent,occurrence_p0,occurrence_p10,occurrence_p100,occurrence_p20,occurrence_p30,occurrence_p40,occurrence_p50,occurrence_p60,occurrence_p70,occurrence_p80,occurrence_p90,reach,recurrence_p0,recurrence_p10,recurrence_p100,recurrence_p20,recurrence_p30,recurrence_p40,recurrence_p50,recurrence_p60,recurrence_p70,recurrence_p80,recurrence_p90,seasonality_p0,seasonality_p10,seasonality_p100,seasonality_p20,seasonality_p30,seasonality_p40,seasonality_p50,seasonality_p60,seasonality_p70,seasonality_p80,seasonality_p90
10,Bahia Blanca,-128.0,-9.0,96.0,-4.999999999999999,-2.0,0.0,0.0,0.0,0.0,2.0,4.999999999999999,-128.0,-19.999999999999996,100.00000000000004,-4.0,0.0,0.0,0.0,2.0,18.0,37.00000000000001,100.00000000000004,126450.31764705882,0.0,47.99999999999989,100.0,65.51710922003971,72.9999999999983,79.00000000000054,83.99999999999991,89.00000000000128,93.51801511663533,98.843926653653,98.843926653653,city,8.0,24.73183971418839,100.0,50.0,61.385090321102254,78.0,91.00000000000004,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,1.0,1.0,12.000000000000002,1.0,4.0,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002
11,Cï¿½rdoba,-90.0,-3.0,70.0,-2.0,-1.0,0.0,0.0,0.0,1.0,2.0,5.0,-100.0,-1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,20413.435294117648,0.0,75.99999999999996,97.0,88.99999999999979,92.00000000000084,92.99999999999308,92.99999999999308,93.99999999999622,93.99999999999622,94.99999999999342,94.99999999999342,upstream,16.0,94.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
12,Cï¿½rdoba,-82.0,-28.0,91.0,-15.0,1.0,6.0,13.0,24.0,37.0,50.0,68.0,-100.0,-100.0,100.0,-38.0,4.0,41.0,69.0,96.0,100.0,100.0,100.0,1118.0901960784315,0.0,20.0,88.0,35.0,46.0,54.00000000000001,61.00000000000001,67.00000000000001,71.0,77.00000000000001,80.99999999999994,city,11.0,50.0,100.0,66.0,80.0,92.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,12.0,2.0,3.0,6.0,12.0,12.0,12.0,12.0,12.0
13,Cï¿½rdoba,-93.0,-34.00000000000001,94.0,-24.0,-17.0,-10.0,0.0,6.0,13.000000000000002,24.000000000000004,43.0,-100.00000000000004,-100.0,100.0,-100.0,-54.0,-13.0,15.0,45.00000000000001,91.0,100.0,100.0,5487.18823529412,0.0,8.0,91.0,15.000000000000004,21.29748100759696,30.00000000000001,36.451170759565954,44.50605326876512,52.99999999999999,66.0,77.99999999999996,downstream,8.0,42.00000000000001,100.00000000000004,55.00000000000001,64.0,72.0,78.0,84.99999999999999,93.0,100.00000000000004,100.00000000000004,1.0,1.0,12.000000000000004,1.0,1.0,2.0,3.000000000000001,4.0,6.000000000000001,12.000000000000004,12.000000000000004
14,Corrientes,-100.0,-45.0,98.0,-22.0,-12.0,-4.999999999999999,0.0,0.0,2.0,3.0,6.999999999999999,-100.0,-81.00000000000001,100.0,-41.0,-12.0,-1.0,0.0,0.0,12.000000000000002,75.0,100.0,215272.38039215677,0.0,41.00000000000048,100.0,71.99999999999908,85.00000000000063,90.9999999999951,95.99999999999774,96.99999999999464,97.99999999997418,97.99999999997418,97.99999999997418,downstream,7.0,36.00000000000001,100.0,50.0,65.99999999999999,88.0,99.99999999999994,99.99999999999994,99.99999999999994,99.99999999999994,99.99999999999994,1.0,4.0,12.0,10.0,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
15,Corrientes,-128.0,-41.0,98.0,-23.0,-13.999999999999998,-7.000000000000001,-1.0,0.0,1.0,2.9999999999999982,5.0,-128.0,-82.50921872056718,99.99999999999996,-51.0,-22.0,-3.0,0.0,0.0,1.0,21.0,99.99999999999996,189387.8392156861,0.0,42.527693643113054,100.0,77.5161948402485,87.57026977045952,92.99999999999234,96.99999999999363,96.99999999999363,97.99999999997333,97.99999999997333,97.99999999997333,upstream,7.0,31.0,99.99999999999994,41.0,56.0,73.0,97.0,99.99999999999994,99.99999999999994,99.99999999999994,99.99999999999994,1.0,5.0,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996
16,Corrientes,-93.0,-41.000000000000014,98.0,-22.0,-11.0,-3.0000000000000013,0.0,0.0,1.0,2.0,6.0,-100.0,-91.0,100.0,-47.99999999999999,-8.0,-1.0,0.0,0.0,0.0,2.0,68.0,66000.18823529416,0.0,58.99999999999997,99.0,87.00000000000135,91.99999999999996,96.00000000000044,96.99999999999704,98.00000000001546,98.00000000001546,98.00000000001546,98.00000000001546,city,8.0,43.0,100.0,64.0,85.0,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,1.0,6.000000000000003,12.0,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
17,Neuquï¿½n-Plottier-Cipolletti,-100.0,-39.0,98.0,-18.0,-5.0,-1.0,0.0,2.0,5.000000000000001,12.0,28.0,-100.0,-48.0,100.0,-13.0,-1.0,0.0,1.0,3.0000000000000004,15.0,40.0,89.0,12699.290196078437,0.0,39.00000000000007,98.99999999999991,64.49051991090344,82.00000000000006,90.00000000000013,95.0000000000004,96.74187766475744,96.74187766475744,96.74187766475744,97.96861236361153,upstream,9.0,69.0,100.0,82.0,89.0,95.0,100.0,100.0,100.0,100.0,100.0,1.0,2.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
18,Neuquï¿½n-Plottier-Cipolletti,-128.0,-54.0,98.0,-41.0,-20.0,-5.0,-1.0,1.0,7.0,19.0,38.0,-128.0,-100.0,100.0,-50.0,-15.0,-1.0,0.0,5.0,23.0,52.0,100.0,8436.964705882354,0.0,34.00000000000001,99.0,57.99999999999996,75.00000000000001,87.00000000000003,92.99999999999994,95.00000000000028,96.99999999999947,97.99999999999925,97.99999999999925,city,9.0,65.0,100.0,78.0,85.00000000000001,92.0,96.0,100.0,100.0,100.0,100.0,1.0,2.0,12.0,4.0,7.000000000000001,12.0,12.0,12.0,12.0,12.0,12.0
19,Neuquï¿½n-Plottier-Cipolletti,-128.0,-62.0,98.0,-50.0,-38.0,-18.0,-3.0,-1.0,4.0,13.0,37.0,-128.0,-100.0,100.0,-100.0,-36.0,-8.0,-1.0,2.0,19.0,53.0,83.0,15406.235294117649,0.0,33.00000000000003,99.0,52.99999999999993,72.43800414334201,85.00000000000001,92.60522739270591,95.00000000000048,96.6766081835939,96.6766081835939,96.6766081835939,downstream,8.0,60.0,100.00000000000004,73.0,83.0,92.5358718401581,96.0,100.00000000000004,100.00000000000004,100.00000000000004,100.00000000000004,1.0,2.0,11.999999999999998,5.0,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
