,AC_AREA,AXIS_FID,CLOUD_SCORE,COVERAGE_SCORE,DATE_ACQUIRED,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,LANDSAT_PRODUCT_ID,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_WATER_MNDWI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,Type_V
40,1171,1,68,100,2020-01-10,2431301.46,11,905.21716,20000,LC08_L2SP_137039_20200110_20200823_02_T1,1000011,1,2,3,0,0,0.0,2,180.03926718638894,-0.11159674763759748,0.05138389493642001,-0.11166704317543576,0.05142701385233015,0.03701239719494746,,,
41,2702,1,2,100,2020-01-26,2431301.46,11,905.21716,20000,LC08_L2SP_137039_20200126_20200823_02_T1,1000011,1,2,3,0,0,0.0,175,4095.1576269601046,-0.11456300248596751,0.042967578065726895,-0.11446658751069196,0.042937769325830565,0.049254236803332636,,,
42,0,1,100,100,2020-01-02,2431301.46,11,905.21716,20000,LE07_L2SP_137039_20200102_20200822_02_T1,1000011,1,2,3,0,0,0.0,0,0.0,,,,,,,,
43,2702,1,16,100,2020-01-18,2431301.46,11,905.21716,20000,LE07_L2SP_137039_20200118_20200822_02_T1,1000011,1,2,3,0,0,0.0,174,4410.19744107326,-0.10734466169518384,0.026865963658204397,-0.10734122471499663,0.026860822267426865,0.055706322041476075,,,
44,3365,1,3,100,2020-01-10,3029182.109,12,197.37788,22000,LC08_L2SP_137039_20200110_20200823_02_T1,1000012,2,3,6,8,0,0.0,82,3093.1203185431054,-0.10434612360453346,0.04700198130065178,-0.10432476626446398,0.04700364854656058,0.02649237798014999,,,
45,3365,1,3,100,2020-01-26,3029182.109,12,197.37788,22000,LC08_L2SP_137039_20200126_20200823_02_T1,1000012,2,3,6,8,0,0.0,160,3457.7346790534743,-0.11197545353141869,0.04281484979439667,-0.11200995236062979,0.04283603841055395,0.04260041282842296,,,
46,0,1,100,100,2020-01-02,3029182.109,12,197.37788,22000,LE07_L2SP_137039_20200102_20200822_02_T1,1000012,2,3,6,8,0,0.0,0,0.0,,,,,,,,
47,3365,1,17,100,2020-01-18,3029182.109,12,197.37788,22000,LE07_L2SP_137039_20200118_20200822_02_T1,1000012,2,3,6,8,0,0.0,241,4915.020392427845,-0.1012761074407393,0.026033940192752996,-0.10125830369278928,0.026047374651840878,0.049392871928304584,,,
48,3857,1,5,100,2020-01-10,3468660.006,13,236.21751,24000,LC08_L2SP_137039_20200110_20200823_02_T1,1000013,1,2,3,6,0,0.0,173,3369.416421739501,-0.10260770011727963,0.046301360782661255,-0.10257776928259339,0.04627188578866049,0.03269428714989612,,,
49,3857,1,3,100,2020-01-26,3468660.006,13,236.21751,24000,LC08_L2SP_137039_20200126_20200823_02_T1,1000013,1,2,3,6,0,0.0,205,3748.1305028752195,-0.1104184962246885,0.04248764264137265,-0.1104233890030693,0.04247959268119904,0.03623019471415841,,,
50,0,1,100,100,2020-01-02,3468660.006,13,236.21751,24000,LE07_L2SP_137039_20200102_20200822_02_T1,1000013,1,2,3,6,0,0.0,0,0.0,,,,,,,,
51,3857,1,19,100,2020-01-18,3468660.006,13,236.21751,24000,LE07_L2SP_137039_20200118_20200822_02_T1,1000013,1,2,3,6,0,0.0,248,4916.053193386746,-0.10590924484413851,0.027825391856923277,-0.10593323696236892,0.027821974218518394,0.048205070125292585,,,
